1	X	2092,49002560623
1	Y	-559,951988030203
1	Z	302,796677671744
2	X	2038,47700475644
2	Y	-510,264062653419
2	Z	287,761783205793
3	X	2011,31589361993
3	Y	-434,837117807398
3	Z	336,639762112237
4	X	1972,49326476478
4	Y	-428,048617778369
4	Z	385,603280482629
5	X	2096,00386395864
5	Y	-557,317073809596
5	Z	396,855802770171
6	X	2030,26996456565
6	Y	-481,52828872275
6	Z	321,324141224532
7	X	1992,73097864014
7	Y	-516,569496466112
7	Z	439,048680525761
8	X	1908,18714714059
8	Y	-571,495941174913
8	Z	385,881502764244
9	X	2097,7949873534
9	Y	-420,910042813472
9	Z	445,250515225926
10	X	1944,99423533911
10	Y	-481,113945264888
10	Z	324,770002900981
11	X	2069,05653912996
11	Y	-450,180983566763
11	Z	458,886319457035
12	X	1960,83595615851
12	Y	-597,529792505097
12	Z	369,674849526805
13	X	2013,88862231462
13	Y	-587,847778567973
13	Z	461,635997298935
14	X	2045,42470171369
14	Y	-593,084399492054
14	Z	368,805468657429
15	X	2081,45783915252
15	Y	-438,220084290123
15	Z	460,031972511686
16	X	1994,45605142715
16	Y	-506,270136174872
16	Z	380,754088259653
17	X	2006,97558517893
17	Y	-564,980865439857
17	Z	451,31412256384
18	X	2040,41293810141
18	Y	-572,487802231911
18	Z	417,364511398303
19	X	2077,57954270466
19	Y	-474,004266911188
19	Z	307,810338574373
20	X	1925,0181886484
20	Y	-599,281523562633
20	Z	355,532152681394
